EPS,forecasted_eps,noOfEsts,after_total_returns,before_total_returns
0.02,0.11,1,-0.065573904,0.026369077
0.07,0.01,1,-0.079787234,0.233333333
0.25,0.19,2,0.057401848,0.001472727
0.08,0.03,1,0.008571504,0.217857398
-0.18,-0.14,1,0.08054708,-0.002413525
-0.36,-0.3,4,-0.132075472,-0.004784689
-0.48,-0.36,1,0.164763458,0.022608696
0.25,0.08,1,0.23164219,0.092592593
-0.31,-0.37,1,-0.135743134,-0.031298905
-0.76,-0.7,5,0.137466307,-0.017177914
-1.09,-1.07,2,0.012097883,-0.058259969
0.08,-0.64,1,0.300403226,-0.223946785
-0.51,-0.51,1,-0.079754601,-0.016129032
0.35,0.12,3,0.049577068,0.017972682
1.17,1.12,8,-0.024928575,0.05578728
0.25,0.24,9,0.035502907,-0.016794994
1.67,1.35,6,0.015469221,0.121549086
0.15,0.19,11,0.081914854,0.096654232
0.09,0.2,8,0.073634386,0.01475797
2.92,2.8,3,-0.069046974,0.214260418
0.49,0.53,2,0.311016928,0.187057652
2.76,2.62,1,-0.017190186,0.014126574
-0.32,-0.31,11,-0.04415182,0.016449623
0.83,0.83,3,-0.026776557,-0.033263418
1.1,0.98,10,0.066427734,0.044259912
0.14,0.16,4,0.006083153,0.089089467
1.74,1.61,5,0.020260764,0.035874038
-0.08,-0.1,3,0.588571429,0.120300752
0.66,0.6,7,-0.008927095,-0.0292131
-1.34,-1.23,9,-0.002418197,0.11471769
0.76,0.54,2,0.011644709,0.016916936
3.49,3.43,9,-0.03203537,0.024019612
-0.29,-0.3,8,0.000682128,0.19941349
0.09,0.03,17,0.014479834,0.167995739
0.05,0.02,4,0.006075334,-0.000487924
-0.15,-0.16,6,0.236842105,0.097087379
0.76,0.79,6,-0.004479185,0.05431913
1.65,1.39,5,0.004896212,0.004906546
0.89,0.88,6,0.054752246,0.038004538
0.42,0.36,13,0.029191629,0.01294262
0.81,0.94,7,0.015274199,-0.04944
1.36,1.41,5,0.042848198,0.02512391
0.55,0.58,2,-0.066356228,0.030115395
0.05,0.06,3,0.031707317,0.002849003
0.01,0.05,3,0.092,-0.025270758
0.02,-0.01,3,0.0046875,0.020689655
0.43,0.36,6,0.007692311,0.031144193
0.01,-0.07,3,-0.052840159,0.07505176
0.83,0.82,4,0.036984127,-0.00724526
-0.26,-0.3,5,-0.005562851,-0.002716837
0.02,-0.04,4,0.113475177,-0.082857143
1.93,1.53,11,0.023462536,0.017612949
0.27,0.25,7,0.099925429,-0.056308655
2.93,2.53,3,0.005791789,-0.012323944
0.02,0.01,7,0.07310705,0.018469657
0.42,0.32,2,0.022122235,-0.016417366
0.45,0.41,2,0.096999174,0.035270792
0.98,0.77,4,0.074856625,-0.005539264
0.19,0.16,9,0.036297036,0.020175105
-0.25,-0.28,4,0.067287978,0.013869896
-0.27,-0.29,4,-0.007223942,-0.024324324
3.58,3.42,2,0.074687122,0.013480579
-0.34,-0.4,6,-0.015317287,0.031602709
0.02,0,3,-0.024615385,0.013157895
1.46,1.37,3,-0.003987606,0.027729632
0.48,0.48,9,0.026012993,0.012139608
-0.65,-0.66,4,0.04851752,0.034115921
-0.08,0.12,6,-0.041154607,0.031594637
0.3,0.23,2,0.034548216,0.065595135
0.69,0.67,1,0.029710514,-0.009352757
0.07,0.07,7,0.100907029,0.007425743
0.02,-0.12,3,0.005762179,-0.026887872
-0.02,-0.02,4,0.113924051,0.067567568
0.56,0.54,4,-0.060181228,0.126968107
0.64,0.78,8,-0.112571898,-0.079012346
0.23,0.25,7,-0.012794877,-0.034456642
0.45,0.44,1,-0.035428219,0.036326048
0.42,0.47,4,-0.007422307,0
1.09,1.15,6,0.046276762,0.014595187
0.25,0.24,8,0.02025068,-0.008712401
0,0.02,7,-0.004382761,-0.01381567
0.21,0.14,3,-0.005017483,-0.001249534
0.01,0,5,-0.007547258,0.035856575
0.6,0.53,2,0.041629761,0.019372694
-0.53,-0.63,6,-0.051683101,-0.086700337
-0.34,-0.29,3,0.192982456,0
0.23,0.23,7,0.176403207,-0.065778744
0.27,0.26,3,0.082682275,0.005888823
1.4,1.32,4,0.07730237,0.075920778
0.04,0.06,2,-0.017623717,-0.017241399
0.73,0.68,3,-0.099756098,-0.021888127
0.33,0.37,7,-0.02456145,0.003484307
0.18,0.18,5,0.073468108,0.048862669
1.02,0.35,7,-0.017862961,0.024233916
0.08,0.05,1,-0.021943582,-0.079310343
0.14,0.1,3,0.023200007,0.022441678
0.04,0.02,3,-0.149122442,-0.099800355
1,0.92,6,0.114654518,-0.051622419
1.08,1.13,4,-0.037554585,-0.044740973
0.48,0.41,6,0.087974917,0.007313401
0.55,0.51,1,-0.01252847,-0.025608403
0.37,0.21,4,0.64950495,0.005799503
0.16,0.16,1,0.066060303,0.000488073
-0.01,-0.02,6,-0.061002179,0.048387097
-0.13,-0.28,2,-0.096525097,0.030791789
0,-0.06,16,-0.094128582,0.307783036
0.55,0.52,5,0.095224798,-0.029403682
1,0.85,1,0.02164221,0.011137629
-0.18,-0.17,6,-0.036170213,0.114942529
-0.29,-0.44,2,-0.0625,-0.033057851
-0.33,-0.29,3,0.055555556,-0.001490313
-1.37,-1.41,6,-0.182537566,0.09455638
0.51,0.53,3,0.037371129,-0.234437753
0.04,-0.02,8,-0.145313554,0.041507212
0.27,0.6,3,0.062032534,-0.10180006
0.26,0.21,12,0.09561753,-0.103815439
0.32,0.32,3,0.011538443,0.022399159
0.21,0.2,2,-0.012607004,0.026890453
-0.64,-0.61,5,0.160035762,0.055824176
0.5,0.48,2,0.006868119,0.008234223
0.39,0.34,2,0.013403073,0.075268817
0.08,0.08,1,0.044262367,-0.001763665
0.12,0.1,3,0.172849916,0.014629948
-0.14,-0.24,3,0.025454545,-0.088122605
-0.16,-0.17,2,0.075,0
0.51,0.43,7,-0.011057719,-0.022168651
1.13,1.11,3,0.132478632,0.004636785
0.15,0.27,5,-0.124365467,-0.013950721
-0.28,-0.33,3,0.05247447,0.022705469
0.07,0.07,3,-0.00477332,-0.011078524
0.4,0.31,5,-0.003767123,-0.053938094
0.07,0.02,4,-0.089430894,0.02862254
-0.43,-0.08,2,-0.096153846,0.016129032
0.33,0.34,4,0.007042247,-0.028070148
0.3,0.28,1,0.02966317,-0.014118791
-0.51,-0.56,2,-0.009230769,0.001594896
0.77,0.77,1,0.022374006,0.02963132
0.31,0.4,2,0.056918828,-0.002879786
0.02,0.35,3,0.035452987,0.020883084
0.14,0.16,1,-0.011365234,0.023791763
-0.31,-0.27,1,0.033333333,-0.105263158
-0.18,-0.18,3,0.097902098,-0.028070175
-0.45,-0.46,3,0.20795853,-0.001079581
-0.68,-0.8,3,-0.166163142,0.026459854
0.05,0.05,4,0.011235881,-0.077319549
-0.1,-0.1,3,0.003816794,0.006389776
-0.38,-0.37,3,0.104693141,0.057142857
-0.37,-0.37,2,0.068376068,-0.016085791
-0.63,-0.86,4,0.001766004,-0.061008995
0.2,0.16,2,0.01934236,0.003777148
-1.27,-1.22,4,0.029953086,-0.071794872
-0.35,-0.25,1,0.025362319,0
0.38,0.38,4,-0.004334322,-0.036297655
0.09,0.07,4,-0.031065715,-0.003792764
1.02,0.98,2,0.052960625,0.013458164
0.07,0.05,3,-0.075,-0.08616188
-1.11,-0.95,3,0.00665779,0.092470277
0.41,0.41,3,0.013758899,-0.011332924
