EPS,forecasted_eps,noOfEsts,after_total_returns,before_total_returns
2.01,1.67,11,0.051444119,0.018584772
0.17,0.19,6,0.112955035,-0.000509925
-0.07,0.14,4,0.077167396,-0.046104354
0.48,0.51,8,-0.006129969,-0.004898527
-0.24,-0.27,9,0.089761571,-0.025466066
2.83,2.77,9,0.038322185,0.025329653
-0.08,-0.05,5,0.302564103,0.016853933
0.24,0.35,5,-0.018466041,0.006485873
0.01,0.05,3,0.096163763,-0.139893318
-0.58,-0.53,4,-0.018482131,-0.04232805
0.81,0.81,3,0.061940972,-0.031185467
0.31,0.64,3,0.03033367,-0.02289775
-0.08,-0.08,3,0.30669145,-0.05826087
-0.02,0.09,1,0.159999684,0.020270506
-0.18,-0.17,3,-0.193979933,-0.173763144
0.91,0.98,2,0.182933845,-0.035619553
0.31,0.22,2,0.258666667,-0.046875
-0.34,0.04,1,0.098951067,-0.144005326
-0.95,-1.2,1,0,-0.21869783
-0.68,-0.51,3,-0.179756263,0.192041522
0.83,0.6,1,0.0128205,-0.01790729
0.14,0.15,3,0.049483649,-0.03962536
-0.66,-0.45,3,0.294959128,0.045454545
0.19,0.19,3,0.059667694,-0.014419591
0.71,0.63,2,0.005975022,-0.056037954
0.03,0.01,3,0.009009009,-0.014851485
0.27,0.17,2,-0.220244648,0.019323678
-0.02,-0.01,1,0.097988449,-0.040113529
-0.15,-0.12,1,0.084337349,0.528169014
0.21,0.21,5,-0.040117408,-0.027992342
0.48,0.47,3,-0.084862386,-0.030161555
0.56,-0.07,3,0.012919897,-0.083870968
-0.7,-0.68,4,-0.092764378,0
-0.61,-0.69,1,0.23577793,0.06031768
-0.48,-0.4,1,0.083158442,-0.062801933
-0.88,-0.74,2,0.089767734,-0.040181098
0.06,0.05,2,0.139776952,0.084392015
0.49,0.1,3,0.036137736,-0.020705031
1.47,0.12,4,0.033437784,0.020430056
1.32,0.25,1,0.028118307,-0.06237004
-0.13,-0.01,1,0.00990099,-0.018691589
-0.06,-0.07,2,0.00967118,-0.073873874
-0.22,-0.2,2,-0.006914894,0.033578174
0.04,0.07,2,-0.114697406,0.009009009
-0.47,-0.34,1,0.199485199,0.032258065
0.44,0.25,3,0.050363317,-0.060310167
0.11,0.12,5,0.072599532,-0.041594454
-0.37,-0.39,2,0,0.072
0.45,0.46,1,-0.020833333,0.021390374
0.16,0.14,4,0.038461538,-0.026143791
-0.42,-0.37,3,-0.03030303,0.191135734
-0.01,0.02,2,0.018587361,-0.005181347
-0.21,-0.06,2,0.247191001,0.001612779
0.6,0.4,1,-0.026084894,-0.112458655
-0.05,-0.05,1,0.270833333,-0.027210884
-1.34,-1.12,5,0.038328729,0.225780941
1.69,1.22,1,-0.005238079,-0.007751959
-0.15,-0.14,2,0.115819209,-0.09375
-0.3,-0.27,2,0.119307832,0.070333634
-0.35,-0.49,3,-0.089008766,0.042075736
-0.05,-0.05,3,0.058925477,-0.05274374
0.08,0.08,2,0.037292818,0.023224044
-0.52,-0.55,3,0.005154639,0.093922652
-0.54,-0.49,5,0.489130435,0.102964119
-0.17,-0.69,2,-0.02764977,-0.08496732
-0.17,-0.13,3,0.111111111,-0.05346294
-0.64,-0.37,1,0.0225,0
0.21,0.23,2,-0.050198154,-0.197872315
-0.3,-0.21,2,-0.539877301,-0.150579151
0.12,0.12,1,0.019345981,0.0147173
0.07,0.19,1,-0.01073345,-0.007207288
0.23,0.18,1,-0.008415147,-0.041830065
-0.36,-0.4,2,0.016166282,0.10741688
-0.14,-0.2,3,0.310769231,0.08650519
-0.16,-0.2,2,-0.049632358,-0.112211264
-0.35,-0.3,3,0.110687023,-0.123655914
-0.06,-0.05,4,0.027659574,-0.146959459
-0.18,-0.2,3,-0.006116208,0.107361963
-0.46,-0.51,6,0.029112082,0.063311688
-0.22,-0.23,1,-0.030769231,-0.039370079
-0.51,-0.48,3,0.154782609,-0.025270758
-0.21,-0.17,2,-0.061666667,0.001468429
-0.28,-0.29,1,0.136246787,0.020833333
-0.91,-0.74,2,0.166666667,-0.003579952
-0.85,-0.45,5,0.057104317,-0.017595308
-0.07,-0.2,2,0.107883817,-0.033088235
0,0.04,3,0.011627907,0.004970309
-0.05,-0.01,2,-0.10738255,-0.044871795
0.96,0.9,8,-0.009248144,0.139683806
1.24,1.26,8,0.019230767,0.037070777
1.2,1.11,10,-0.047995489,0.07508734
-0.21,-0.24,3,-0.083932854,0.222551929
0.13,-0.21,1,-0.016158014,0.016949178
0.22,0.22,2,-0.00910082,0.039647554
0.02,0,2,0.08,-0.094339623
-0.47,-0.66,3,0.083333333,0.424486148
0.09,0.09,4,0.03125,0.077212806
-0.82,-1.1,2,-0.015748031,-0.057553957
2.79,2.5,2,0.010035146,0.00184296
2.41,1.92,9,0.00775655,-0.026967762
1.98,1.97,13,0.014772733,-0.049696828
2.79,1.61,12,0.029410048,0.045332651
0.71,0.41,11,0.055880454,0.148169014
1.52,1.4,4,0.033231604,0.090538033
0.79,0.69,6,-0.004656066,-0.042442723
0.23,0.22,1,-0.032344131,0.091029028
-0.45,-0.4,1,0.056962025,0.039244186
0.06,0.07,4,0.062578696,0.018934911
0.28,0.24,4,0.02821948,0.219892471
-0.14,-0.33,2,0.002219731,0.100121355
0.19,0.18,4,0.091715976,0.107737512
0.15,0.02,4,0.004506534,0.098717949
-0.07,-0.2,1,0.177980605,0.063872255
0.29,0.31,3,0.032634052,0.070489401
-0.37,-0.41,4,0.010569482,0.114295591
-2.86,-2.79,7,0.091448931,0.55356011
1.61,1.14,12,0.029386651,0.054505819
1.2,1.12,4,0.169408897,0.093714927
0.33,0.35,3,-0.009433962,0.173461231
1.03,0.64,1,0.023822579,0.098660145
-0.61,-0.57,1,0.574912892,0.645502646
4,-2.38,3,-0.119927863,0.192447349
0.45,0.27,1,0.052158255,0.128368837
0.27,0.26,2,0.072348815,0.143467569
0.09,0.12,3,0.046312178,0.195833333
-0.04,-0.02,2,-0.026634383,0.028037383
0.04,0.1,1,0.072,0.16416488
-0.04,-0.06,2,0.031948882,0.05862069
-12.35,-1.62,2,0.138229755,0.323768273
-0.09,-0.08,2,0.271649654,0.070075758
1.28,1.13,1,0.100840336,0.00748263
0.13,0.14,2,0.000379051,-0.002810098
1.02,0.91,2,0.004560262,-0.002254277
0.13,0.11,1,0.145985426,0.027777773
2.64,2.31,10,0.0882151,0.030124323
0.58,0.56,5,0.045534883,0.014475662
1.34,1.46,5,0.533156058,-0.212272175
0.25,0.27,1,0.049330514,0.011998041
-0.09,-0.05,1,-0.122720754,0.072238232
0.16,0.13,2,-0.080188679,-0.051963048
0.06,0,1,-0.003398818,-0.003240401
0.37,0.31,2,0.021856582,-0.007637232
-1.2,0.05,1,0.216524217,-0.025110783
-0.06,-0.06,2,0.056527591,0.003325942
-0.09,-0.12,1,-0.086769759,-0.068990043
-0.18,-0.18,5,0.122774133,0.030585106
-0.44,-1.1,1,-0.017850893,0.002758621
0.19,0.19,1,0.037449335,0.004056876
0.04,0.04,2,0.062977016,0.049800872
-1.28,-1.11,4,0.183558205,0.021258259
-0.84,-0.5,4,-0.076699834,-0.274138905
-1.09,-0.9,3,0.180208333,-0.085149314
-0.3,-0.29,1,-0.079220779,0.018494055
0.28,0.2,1,0.034441101,-0.042219531
-0.09,-0.06,1,-0.032983892,0.483381736
-0.09,-0.12,2,0.077951002,0.259485924
-0.47,-0.82,3,-0.032188841,0.110647182
-0.38,-0.38,2,0.075697211,-0.014545455
-0.19,-0.08,2,0.111607143,-0.05372617
-0.28,-0.36,1,-0.004538578,-0.048387097
-0.17,-0.16,3,-0.080327869,0.037234043
-0.02,0.01,1,-0.053050398,0.012987013
-0.21,-0.23,1,-0.086698337,0.107673267
0.06,0.04,1,-0.026974952,0.157699443
-0.03,-0.06,2,-0.076923077,0.025974026
-0.12,-0.37,3,0.004830918,0.022641509
-0.36,-0.38,2,-0.022690438,0.020926756
-0.05,-0.19,1,0.014285714,0.129770992
3.78,3.1,7,-0.023659106,0.030954741
1.72,1.52,8,0.022000775,0.017490132
15.02,9.9,7,0.001175213,0.02114755
0.64,0.32,1,0.041299554,-0.023529439
1.95,1.71,8,-0.010855779,0.059313831
0.42,0.41,8,0.027056287,0.043461448
0.54,0.53,7,0.009737392,-0.000834258
0.61,0.52,2,0.011775957,-0.018838291
-0.6,-0.56,4,0.281373844,-0.138018018
0,0,2,0.005297011,0.05066568
-0.54,-0.58,1,0.123342454,-0.00339337
-0.03,-0.03,4,-0.068181818,-0.073426573
-0.65,-0.61,5,-0.063499315,-0.05960817
-0.07,-0.07,2,0.110356537,0
0.46,0.66,1,0.011811008,0.184999521
0.08,0.09,2,0.036613351,0.011547288
0.81,0.71,1,-0.058923819,0.061478256
-0.11,-0.09,1,-0.083958021,0.249743063
0.15,0.16,17,-0.010566449,0.102278169
5.24,5.39,7,-0.000819902,0.022200457
0.88,0.92,10,-0.014128907,-0.014696417
0.49,0.47,8,0.036486196,-0.00505514
0.81,0.81,3,0.015116266,-0.009997668
0.45,0.44,1,0.006927128,-0.041788666
0.9,0.36,11,-0.010200163,0.019501386
0.21,0.32,2,0.117815067,-0.032314122
0.09,0.09,2,0.127027201,0.026315641
