EPS,forecasted_eps,noOfEsts,before_total_returns
3.83,3.72,11,-0.088042113
-2.14,-2.12,1,-0.108
0.58,0.41,10,-0.218316379
0.11,0.05,2,0.044483214
-0.01,0.01,1,-0.238273921
-0.39,-0.36,3,0.075660243
0.48,0.48,1,-0.029850774
-0.21,-0.18,1,0.172951886
-0.7,-0.28,2,0.190217391
0.95,0.9,1,-0.205541237
0.21,0.15,2,-0.219215156
0.05,0.08,5,-0.259337649
-0.27,-0.26,1,-0.0875
-0.28,-0.2,3,-0.086907449
-1.01,-0.41,2,-0.21266134
-0.71,-0.51,4,0.037557152
-0.32,-0.23,4,-0.006944444
-0.18,-0.16,3,-0.17936694
-0.56,-0.6,5,0.120418848
0.07,0.05,3,0.013389711
1.48,1.36,6,-0.027647366
-0.8,-0.29,2,0.213327745
-0.31,-0.25,6,0.866666667
0.17,0.07,1,-0.004454493
3.09,2.73,2,-0.338461538
-0.22,-0.41,2,-0.031746032
-0.39,-0.57,3,-0.028387097
0.34,0.2,1,-0.110161604
-0.84,-0.96,1,-0.068292683
-0.5,-0.56,1,0.484662577
-0.6,-0.67,5,0.062410672
0.51,0.88,2,-0.071606089
-0.48,-0.76,3,-0.039408867
-0.47,-0.42,2,0.029535865
-0.13,-0.13,2,0.041666667
0.02,0.06,1,0.004597701
-0.79,-0.85,2,0.103312303
-0.07,-0.25,1,0.5640599
0.21,0.2,2,-0.107843018
-0.15,-0.2,2,0.16824867
-0.47,-0.68,2,-0.071713147
-0.22,-0.23,2,0.057934509
-0.15,-0.07,1,0.110091743
-0.28,-0.19,3,-0.210332103
0.02,0.03,3,0.03515625
-0.03,-0.07,2,0.194907346
-0.79,-0.51,1,0
-0.35,-0.39,6,-0.025157233
0.11,0.05,1,-0.015748031
0.06,-0.01,6,-0.150121065
-0.18,-0.2,4,0.439814815
-0.58,-0.51,5,-0.014693878
-0.55,-0.72,3,0.141034251
-0.67,-0.56,2,-0.287634409
-0.23,-0.54,1,0.455081001
-0.41,-0.28,1,0.054864667
-0.18,-0.23,1,-0.048672566
-0.03,0.01,1,-0.083123426
0.14,0.14,3,-0.309226933
-0.29,-0.31,3,0.170377541
0.01,0.03,1,0.06993007
-0.37,-0.44,6,0.264150943
0.14,0.03,2,-0.289241623
-0.14,-0.07,1,-0.093655589
-0.34,-0.33,4,0.112366231
0.12,0.11,2,-0.373182904
0.37,0.33,2,-0.076376559
-0.28,-0.31,2,0.065217391
0,0.01,2,-0.242424242
0.03,0.02,1,0.136125654
-0.07,-0.08,1,-0.088159295
0.08,0.09,3,-0.059672131
-0.06,-0.06,3,0.2
-0.97,-0.64,2,-0.102189781
0.15,0.19,1,0.171232877
-0.19,0.03,1,-0.057119042
-0.11,-0.16,2,0.034482759
-0.41,-0.34,3,0.371007371
-1.59,-1.85,2,0.451145833
-0.11,-0.13,4,0.214723926
0,-0.01,1,-0.098924604
-0.27,-0.29,3,0.171497585
-0.66,-0.76,5,0.150632911
-0.44,-0.26,1,-0.063157895
-0.34,-0.11,1,-0.424561404
-4.81,-4.48,1,-0.005376344
-0.23,-0.24,2,-0.081499904
-0.23,-0.25,1,0.869565217
-0.39,-0.37,5,0.014245014
-0.11,-0.12,2,0.484848485
-0.55,-0.52,1,0.195979899
0,-0.2,1,-0.070967742
-0.09,-0.08,1,-0.157894737
-0.29,-0.33,4,0.136144578
-0.6,-0.49,1,-0.047493404
-0.77,-0.92,4,0.180952381
0.17,0.08,1,0.269326683
0,0,2,-0.107142857
-0.19,-0.21,1,-0.287234043
-0.06,-0.06,1,0.210526316
-2.94,-4.9,1,-0.074074074
0.18,0.12,2,0.04624278
-0.08,-0.01,1,0.033519553
0.8,-0.22,2,0.158326497
431.4,0.35,1,-0.008566122
2.57,2.42,8,-0.083320657
-0.11,-0.08,1,0.00310559
0.84,0.88,1,-0.148098434
0.33,0.33,2,0.010582007
0.8,0.8,6,0.006389776
0.63,0.88,1,0.013768485
0.02,0.01,1,-0.009699302
0.01,0.06,2,-0.109393579
0.17,-0.04,3,-0.059973924
-0.48,-0.56,2,-0.004363636
0.14,0.27,1,-0.075221216
-0.62,-0.41,1,0.017467335
-0.24,-0.19,2,-0.082901554
-0.68,-0.83,10,-0.045324768
1,0.93,3,-0.001509663
1.47,1.49,8,0.014885175
1.99,2.02,17,-0.019578981
3.22,3.08,6,0.011841393
0.27,0.36,1,-0.037781343
0.83,0.83,11,0.000511314
0.98,0.97,3,0.007742262
0.18,0.19,3,-0.084874928
1.53,1.54,3,0.004164811
1.54,1.59,4,-0.001143672
0.11,0.41,10,-0.062276309
